#,"Date Time, GMT-08:00","Temp, °C (LGR S/N: 20546019, SEN S/N: 20546019, LBL: Temperature, -UV)","Intensity, Lux (LGR S/N: 20546019, SEN S/N: 20546019, LBL: Light Intensity, -UV)"
564,2/21/19 8:00,1.003,581.3
565,2/21/19 8:30,1.003,462.9
566,2/21/19 9:00,1.003,656.6
567,2/21/19 9:30,1.112,807.3
568,2/21/19 10:00,1.112,1550
569,2/21/19 10:30,1.221,2066.7
570,2/21/19 11:00,1.548,3616.7
571,2/21/19 11:30,1.33,1722.2
572,2/21/19 12:00,1.439,2669.5
573,2/21/19 12:30,1.439,2411.1
574,2/21/19 13:00,1.548,2411.1
575,2/21/19 13:30,1.872,7233.4
576,2/21/19 14:00,1.872,2927.8
577,2/21/19 14:30,1.872,5511.1
578,2/21/19 15:00,1.98,5511.1
579,2/21/19 15:30,1.98,4133.4
580,2/21/19 16:00,1.439,1808.3
581,2/21/19 16:30,1.221,1377.8
582,2/21/19 17:00,1.112,721.2
583,2/21/19 17:30,0.893,75.3
584,2/21/19 18:00,0.893,0
585,2/21/19 18:30,0.893,0
586,2/21/19 19:00,0.893,0
587,2/21/19 19:30,0.893,0
588,2/21/19 20:00,0.893,0
589,2/21/19 20:30,0.893,0
590,2/21/19 21:00,0.784,0
591,2/21/19 21:30,0.784,0
592,2/21/19 22:00,0.563,0
593,2/21/19 22:30,0.121,0
594,2/21/19 23:00,0.01,0
595,2/21/19 23:30,0.232,0
596,2/22/19 0:00,0.453,0
597,2/22/19 0:30,0.453,0
598,2/22/19 1:00,0.343,0
599,2/22/19 1:30,0.453,0
600,2/22/19 2:00,0.563,0
601,2/22/19 2:30,0.563,0
602,2/22/19 3:00,0.563,0
603,2/22/19 3:30,0.563,0
604,2/22/19 4:00,0.453,0
605,2/22/19 4:30,0.343,0
606,2/22/19 5:00,0.343,0
607,2/22/19 5:30,0.343,0
608,2/22/19 6:00,0.343,0
609,2/22/19 6:30,0.343,129.2
610,2/22/19 7:00,0.232,1205.6
611,2/22/19 7:30,0.343,1463.9
612,2/22/19 8:00,0.343,1119.5
613,2/22/19 8:30,0.232,861.1
614,2/22/19 9:00,0.343,5338.9
615,2/22/19 9:30,0.674,1808.3
616,2/22/19 10:00,1.33,10677.8
617,2/22/19 10:30,2.517,11711.2
618,2/22/19 11:00,3.367,17222.3
619,2/22/19 11:30,4.207,20666.8
620,2/22/19 12:00,4.934,22044.6
621,2/22/19 12:30,5.347,26178
622,2/22/19 13:00,5.552,27555.7
623,2/22/19 13:30,5.757,28933.5
624,2/22/19 14:00,5.962,30311.3
625,2/22/19 14:30,5.86,30311.3
626,2/22/19 15:00,5.552,27555.7
627,2/22/19 15:30,5.037,23422.4
628,2/22/19 16:00,2.195,1377.8
629,2/22/19 16:30,1.764,1173.3
630,2/22/19 17:00,1.221,828.8
631,2/22/19 17:30,0.01,301.4
632,2/22/19 18:00,-0.887,0
633,2/22/19 18:30,-0.887,0
634,2/22/19 19:00,-1.001,0
635,2/22/19 19:30,-1.001,0
636,2/22/19 20:00,-1.228,0
637,2/22/19 20:30,-1.228,0
638,2/22/19 21:00,-1.228,0
639,2/22/19 21:30,-1.228,0
640,2/22/19 22:00,-1.228,0
641,2/22/19 22:30,-1.341,0
642,2/22/19 23:00,-1.341,0
643,2/22/19 23:30,-1.341,0
644,2/23/19 0:00,-1.456,0
645,2/23/19 0:30,-1.57,0
646,2/23/19 1:00,-1.57,0
647,2/23/19 1:30,-1.57,0
648,2/23/19 2:00,-1.799,0
649,2/23/19 2:30,-2.03,0
