site,Fv/Fm,Fo,Fm,e'PS2R,NPQ,Time,Treatment,Exp
17,0.804,242,1232,0.581,1.61,192,UV Filtered,UV Test
18,0.755,267,1090,0.551,0.896,192,UV Filtered,UV Test
19,0.803,192,975,0.598,0.757,192,UV Filtered,UV Test
1,0.802,140,707,0.573,1.303,192,UV Filtered,UV Test
20,0.778,197,886,0.562,1.166,192,UV Filtered,UV Test
2,0.78,163,742,0.526,0.85,192,UV Filtered,UV Test
3,0.772,276,1209,0.543,0.874,192,UV Filtered,UV Test
4,0.803,154,782,0.621,1.744,192,UV Filtered,UV Test
5,0.8,197,984,0.58,1.43,192,UV Filtered,UV Test
6,0.797,288,1421,0.571,1.877,192,UV Filtered,UV Test
7,0.812,239,1271,0.583,1.787,192,UV Filtered,UV Test
8,0.824,196,1114,0.635,1.971,192,UV Filtered,UV Test
9,0.768,302,1300,0.521,1.895,192,UV Filtered,UV Test
11,0.839,130,805,0.632,1.622,192,UV Transmitted,UV Test
12,0.796,184,901,0.583,1.086,192,UV Transmitted,UV Test
13,0.811,181,956,0.573,1.414,192,UV Transmitted,UV Test
14,0.826,184,1059,0.615,1.396,192,UV Transmitted,UV Test
15,0.809,165,862,0.597,1.227,192,UV Transmitted,UV Test
16,0.81,237,1250,0.588,1.604,192,UV Transmitted,UV Test
17,0.83,124,728,0.667,1.379,192,UV Transmitted,UV Test
18,0.819,165,914,0.62,1.106,192,UV Transmitted,UV Test
19,0.825,138,790,0.603,1.147,192,UV Transmitted,UV Test
1,0.789,200,947,0.526,2.507,192,UV Transmitted,UV Test
20,0.8,225,1125,0.58,1.197,192,UV Transmitted,UV Test
2,0.825,77,440,0.662,1.189,192,UV Transmitted,UV Test
3,0.811,155,821,0.6,1.161,192,UV Transmitted,UV Test
4,0.761,192,804,0.614,0.506,192,UV Transmitted,UV Test
5,0.814,196,1056,0.61,0.862,192,UV Transmitted,UV Test
6,0.832,109,650,0.692,2.125,192,UV Transmitted,UV Test
7,0.828,161,934,0.636,0.966,192,UV Transmitted,UV Test
8,0.778,165,743,0.57,0.655,192,UV Transmitted,UV Test
9,0.806,146,752,0.616,2.241,192,UV Transmitted,UV Test
11,0.881,57,481,0.701,1.88,192,Site Reference,UV Test
12,0.826,156,896,0.6,1.987,192,Site Reference,UV Test
13,0.825,112,641,0.616,0.837,192,Site Reference,UV Test
14,0.817,171,933,0.604,2.274,192,Site Reference,UV Test
15,0.816,161,873,0.605,2.052,192,Site Reference,UV Test
16,0.831,155,919,0.633,1.881,192,Site Reference,UV Test
17,0.821,148,826,0.622,2.004,192,Site Reference,UV Test
18,0.815,152,821,0.628,1.566,192,Site Reference,UV Test
19,0.851,105,704,0.659,2.157,192,Site Reference,UV Test
1,0.822,166,934,0.618,1.458,192,Site Reference,UV Test
20,0.881,57,481,0.696,1.657,192,Site Reference,UV Test
2,0.826,106,608,0.606,1.523,192,Site Reference,UV Test
3,0.83,120,704,0.617,1.75,192,Site Reference,UV Test
4,0.757,154,633,0.585,0.73,192,Site Reference,UV Test
5,0.83,113,666,0.649,1.458,192,Site Reference,UV Test
6,0.841,155,975,0.605,1.794,192,Site Reference,UV Test
7,0.872,77,602,0.652,2.219,192,Site Reference,UV Test
8,0.834,76,457,0.627,1.839,192,Site Reference,UV Test
9,0.851,51,343,0.706,2.363,192,Site Reference,UV Test
