Sample,Site,Treatment Group,Data Type,Treatment ,neoxanthin,violaxanthin,antheraxanthin,lutein,zeaxanthin,chlorophyll b,beta-carotene.sum,beta-tocopherol,alpha-tocopherol,V+A+Z,A+Z/V+A+Z,total carotenoids,total tocopherols
2B,2,B,sample,UV Transmitted,118.4818201,27.0135398,36.78273361,534.6321447,171.8594847,351.253488,397.2706251,4.683578633,19.81520974,235.6557581,0.885368641,1286.040348,24.49878837
2B-2,2,B,sample,UV Transmitted,87.76943603,15.64943716,29.0920167,521.4411913,183.6990476,369.3503886,254.9246335,4.296952925,17.50261773,228.4405015,0.931494472,1092.575762,21.79957066
2B-3,2,B,sample,UV Transmitted,110.3511767,21.0632826,36.60690298,395.6012467,155.2275508,284.7306804,236.2634953,3.61838516,13.89560308,212.8977363,0.901063849,955.1136551,17.51398824
2B-mean,2,B,mean,UV Transmitted,105.5341443,21.24208652,34.16055109,483.8915276,170.2620277,335.111519,296.152918,4.199638906,17.07114352,225.6646653,0.905975654,1111.243255,21.27078242
2B-dev,2,B,dev,UV Transmitted,12.99270268,4.641097955,3.584713825,62.66248525,11.67819722,36.38265272,71.90573712,0.440274004,2.435852109,9.4959935,0.019148411,135.7435708,2.875942856
2C,2,C,sample,Site Reference,142.3297573,29.6296291,60.60780294,668.959613,276.0757891,279.9089162,271.9562487,9.21084585,23.85562007,366.3132211,0.919113951,1449.55884,33.06646592
2C-2,2,C,sample,Site Reference,92.65554413,14.8079529,38.73560267,569.2730197,241.2533281,276.1241243,241.6625354,6.62949834,17.90247792,294.7968836,0.949768964,1198.387983,24.53197626
2C-3,2,C,sample,Site Reference,81.41769655,11.73227908,29.96945694,492.0033219,202.1229669,258.9127649,228.4394903,5.277540398,15.30787269,243.8247029,0.95188232,1045.685212,20.58541309
2C-mean,2,C,mean,Site Reference,105.467666,18.72328703,43.10428752,576.7453182,239.8173613,271.6486018,247.3527581,7.039294863,19.02199023,301.6449359,0.940255078,1231.210678,26.06128509
2C-dev,2,C,dev,Site Reference,26.46611213,7.813499663,12.8838689,72.43506829,30.20818296,9.137188413,18.21558014,1.631701124,3.578265613,50.23963333,0.014973911,166.5062039,5.208855223
3A,3,A,sample,UV Filtered,113.8318899,30.0269669,54.7293847,488.9710984,180.0067096,257.3171139,316.9743289,8.542338002,19.79797453,264.7630612,0.886589289,1184.540378,28.34031253
3A-2,3,A,sample,UV Filtered,106.3278202,23.24121022,37.82729836,455.7368736,149.8344177,340.0216769,162.4270611,4.726894174,11.81825574,210.9029263,0.889801386,935.3946812,16.54514992
3A-3,3,A,sample,UV Filtered,97.34366402,28.43569134,33.65849584,379.0114605,144.0418161,243.8791451,178.8149709,3.624577796,11.85953732,206.1360033,0.862053737,861.3060987,15.48411511
3A-mean,3,A,mean,UV Filtered,105.834458,27.23462282,42.0717263,441.2398108,157.9609811,280.4059787,219.4054536,5.631269991,14.49192253,227.2673303,0.879481471,993.7470528,20.12319252
3A-dev,3,A,dev,UV Filtered,6.740324076,2.897533164,9.110688438,46.04638324,15.76703661,42.51014282,69.31524584,2.107053721,3.7519832,26.58481104,0.012392843,138.2602602,5.826505222
3B,3,B,sample,UV Transmitted,113.4380599,24.6268296,47.93794845,569.574428,200.7267192,324.4438347,309.9806453,5.614800888,19.19175208,273.2914972,0.90988805,1266.28463,24.80655297
3B-2,3,B,sample,UV Transmitted,101.5033369,20.80309306,37.04812573,428.0020844,161.3175971,311.2843927,34.73111611,3.633877513,10.91915428,219.1688159,0.905081875,783.4053532,14.55303179
3B-3,3,B,sample,UV Transmitted,102.7998627,15.12420035,34.28368047,363.1889643,130.5770293,311.1171363,167.9398099,2.980426721,8.898947974,179.9849101,0.91596962,813.913547,11.87937469
3B-mean,3,B,mean,UV Transmitted,105.9137532,20.18470767,39.75658488,453.5884922,164.2071152,315.6151213,170.8838571,4.076368374,13.00328478,224.1484077,0.910313182,954.5345102,17.07965315
3B-dev,3,B,dev,UV Transmitted,5.346752173,3.903997185,5.894153698,86.17709713,28.71128389,6.243216586,112.3894313,1.120068579,4.452950637,38.25464722,0.004455057,220.7921957,5.571705075
3C,3,C,sample,Site Reference,135.6222824,27.199252,52.66740725,704.9891818,247.341105,329.2837285,367.8836031,7.346017576,27.27880652,327.2077643,0.916874674,1535.702832,34.6248241
3C-2,3,C,sample,Site Reference,105.4562299,20.6006714,41.40192302,534.9803787,225.5874371,297.264157,318.323636,5.960127895,21.67018467,287.5900316,0.928367923,1246.350276,27.63031257
3C-3,3,C,sample,Site Reference,99.35051762,16.50082767,36.14933095,417.709272,183.8606867,245.7180589,267.8299794,4.97678037,16.93324849,236.5108454,0.930232258,1021.400614,21.91002886
