Sample,Site,Treatment Group,Data Type,Treatment ,neoxanthin,violaxanthin,antheraxanthin,lutein,zeaxanthin,chlorophyll b,chlorophyll a,beta-carotene.sum,beta-tocopherol,alpha-tocopherol,V+A+Z,total carotenoids,total chlorophylls,total tocopherols
11B-2,11,B,sample,UV Transmitted,4.158909457,1.121621698,1.300006707,17.51381025,5.824298538,14.52119159,45.48748993,10.07267183,1.97574239,14.67756455,8.245926942,39.99131848,60.00868152,88.1360357
11B-mean,11,B,mean,UV Transmitted,3.96957827,0.946453669,1.115355069,18.11969245,6.185530252,13.78238026,43.06543173,12.81557829,2.464884549,18.05027107,8.24733899,43.15218801,56.84781199,88.0053264
11B-dev,11,B,dev,UV Transmitted,0.29547854,0.123884773,0.162859764,1.407716369,0.687515846,0.732230008,4.968381738,3.596978026,0.843087981,6.048450119,0.543314776,5.638811025,5.638811025,0.095968421
11C (outlier),11,C,sample,Site Reference,4.000486056,0.664227108,1.374985376,23.09549516,9.79581506,9.454709632,34.53100242,17.08327918,4.792487349,27.5241888,11.83502754,56.01428794,43.98571206,85.17023432
11C-2,11,C,sample,Site Reference,3.82407759,0.593706156,1.615731362,20.45170757,7.913396018,10.1102056,43.64412182,11.84705389,2.911338732,14.37564322,10.12283354,46.24567258,53.75432742,83.15877959
11C-3,11,C,sample,Site Reference,2.905078949,0.367372138,1.455928225,21.07682327,8.73955652,9.411805046,40.65252567,15.39091018,4.292966963,22.15165636,10.56285688,49.93566928,50.06433072,83.76620113
11C-4,11,C,sample,Site Reference,3.801713408,0.613357955,1.818578864,21.13946163,7.613712566,14.02868031,38.93695648,12.0475388,3.975393668,22.33927752,10.04564939,47.03436321,52.96563679,84.89286209
11C-mean,11,C,mean,Site Reference,3.510289982,0.524812083,1.630079484,20.88933082,8.088888368,11.18356365,41.07786799,13.09516762,3.726566454,19.62219237,10.24377993,47.73856836,52.26143164,83.93928094
11C-dev,11,C,dev,Site Reference,0.428046209,0.111615562,0.148398727,0.310501182,0.476080754,2.031905088,1.945085852,1.625397177,0.590852705,3.710661117,0.227811212,1.586599631,1.586599631,0.718437187
12A,12,A,sample,UV Filtered,4.071383694,0.830623726,1.870266341,23.15078237,9.134775572,9.058548723,38.55485209,13.32876749,7.350465558,16.38694794,11.83566564,52.38659919,47.61340081,69.0342608
12A-2,12,A,sample,UV Filtered,3.212126646,0.484492235,1.580365835,21.86890056,7.753192002,12.17168524,44.04012097,8.889116518,5.054433514,12.8158964,9.818050072,43.78819379,56.21180621,71.71605931
12A-3,12,A,sample,UV Filtered,5.598664285,1.024190555,1.848204581,19.24610082,6.585646151,14.23492261,43.89599984,7.566271155,3.393821751,8.216902785,9.458041287,41.86907755,58.13092245,70.76993998
12A-mean,12,A,mean,UV Filtered,4.294058208,0.779768839,1.766278919,21.42192792,7.824537908,11.82171886,42.16365763,9.92805172,5.266240274,12.47324904,10.37058567,46.01462351,53.98537649,70.50675336
12A-dev,12,A,dev,UV Filtered,0.986940873,0.223246103,0.131768576,1.625109823,1.041899829,2.127685597,2.552489089,2.464566325,1.622221549,3.344195457,1.046341588,4.573277989,4.573277989,1.110543773
12B,12,B,sample,UV Transmitted,4.513434514,1.291826754,1.781435483,21.36870952,7.216864442,11.92367319,42.66501543,9.239040664,4.698217134,9.889893553,10.29012668,45.41131138,54.58868862,67.79420423
12B-2,12,B,sample,UV Transmitted,3.941527136,0.958719172,1.371167639,20.50626072,7.295834261,12.58867092,45.04922759,8.288592554,3.716160871,9.440508211,9.625721072,42.36210148,57.63789852,71.75454632
12B-3,12,B,sample,UV Transmitted,4.453336827,0.886259703,1.773329185,19.79671813,7.063296555,14.28307833,42.77401878,8.969962486,3.535309236,10.03718336,9.722885443,42.94290289,57.05709711,73.95239518
12B-mean,12,B,mean,UV Transmitted,4.302766159,1.045601876,1.641977436,20.55722946,7.191998419,12.93180748,43.49608727,8.832531901,3.98322908,9.789195042,9.879577731,43.57210525,56.42789475,71.16704858
12B-dev,12,B,dev,UV Transmitted,0.256610154,0.1766024,0.191520038,0.642773982,0.096547693,0.993312699,1.099137265,0.400002731,0.51093559,0.253785279,0.292999497,1.321953593,1.321953593,2.548161972
12C,12,C,sample,Site Reference,3.559632622,0.680546586,1.317834199,21.34912976,9.740047109,7.781988834,33.46471829,22.1061026,7.83793724,26.70180687,11.73842789,58.75329288,41.24670712,77.30748319
12C-2,12,C,sample,Site Reference,3.311492688,0.518772091,1.431106945,19.29589172,7.80727744,8.917468971,40.97848954,17.7395006,4.20114386,15.35268444,9.757156476,50.10404149,49.89595851,78.51498031
12C-3,12,C,sample,Site Reference,3.550152215,0.533180612,1.390142295,19.86532513,8.279595713,9.750175399,38.60652454,18.0249041,5.107871899,17.6891431,10.20291862,51.64330006,48.35669994,77.59411967
12C-mean,12,C,mean,Site Reference,3.473759175,0.577499763,1.37969448,20.17011554,8.608973421,8.816544401,37.68324412,19.2901691,5.715651,19.9145448,10.56616766,53.50021148,46.49978852,77.80552772
12C-dev,12,C,dev,Site Reference,0.114804992,0.073102153,0.046829808,0.865493889,0.82270566,0.806671728,3.136189264,1.994571782,1.545663417,4.893189455,0.848654429,3.767269338,3.767269338,0.5151261
13A,13,A,sample,UV Filtered,4.548384375,1.072244129,2.097145076,17.53787279,5.777911287,10.38098313,47.35978697,11.22567225,5.071097394,18.82500049,8.947300491,42.2592299,57.7407701,78.77855448
13A-2,13,A,sample,UV Filtered,3.467623647,0.766538126,0.738529584,18.17438461,6.218730136,14.62195048,48.6082242,7.404019212,4.319112489,9.611430229,7.723797845,36.76982532,63.23017468,68.99537529
13A-3,13,A,sample,UV Filtered,4.400188282,0.960748557,1.416433222,20.35991956,6.655881602,15.28245103,42.79311777,8.131259971,4.608650294,9.912074501,9.03306338,41.92443119,58.07556881,68.26156849
13A-mean,13,A,mean,UV Filtered,4.138732101,0.933176937,1.417369294,18.69072565,6.217507675,13.42846155,46.25370965,8.920317143,4.666286726,12.78283507,8.568053906,40.3178288,59.6821712,72.01183275
13A-dev,13,A,dev,UV Filtered,0.478386482,0.126317551,0.554652847,1.208564728,0.358430923,2.171698073,2.499522752,1.656948278,0.309689945,4.274218753,0.598005039,2.512537774,2.512537774,4.794163832
13B,13,B,sample,UV Transmitted,5.37294434,1.294988202,1.405360458,22.8342521,8.182533714,12.66399046,35.90165547,12.34427526,6.080047965,18.41933203,10.88288237,51.43435407,48.56564593,75.18284966
13B-2,13,B,sample,UV Transmitted,4.66191761,1.139313861,1.552652797,19.97952006,5.882644601,13.30964079,43.98111574,9.493194537,3.237730486,16.12845651,8.574611258,42.70924347,57.29075653,83.28152834
13B-3,13,B,sample,UV Transmitted,4.498515341,1.073891163,1.356528201,18.37680435,6.229122949,15.46748196,44.27283235,8.724823675,2.258760046,11.25180534,8.659542313,40.25968568,59.74031432,83.28152834
13B-mean,13,B,mean,UV Transmitted,4.844459097,1.169397742,1.438180485,20.39685884,6.764767088,13.81370441,41.38520119,10.18743116,3.858846166,15.26653129,9.372345315,44.80109441,55.19890559,80.58196878
13B-dev,13,B,dev,UV Transmitted,0.379602919,0.092735305,0.083362981,1.843518165,1.012442086,1.198735791,3.879280853,1.557044381,1.620678635,2.988929131,1.068673626,4.795844289,4.795844289,3.81775374
13C,13,C,sample,Site Reference,4.078143847,0.59633484,1.41812114,21.89106552,8.885124557,9.237459605,34.29035752,19.60339297,9.046221027,27.45191429,10.89958054,56.47218287,43.52781713,75.21456658
13C-2,13,C,sample,Site Reference,4.205516932,0.754801161,1.605407654,19.57971343,8.050831891,10.89746965,41.27592224,13.63033705,3.215810893,14.09893477,10.41104071,47.82660812,52.17339188,81.42732815
13C-3,13,C,sample,Site Reference,4.375035794,0.867450564,1.476584555,19.51850897,7.631283809,13.07294038,43.05789225,10.00030369,3.515395345,11.79428538,9.975318928,43.86916737,56.13083263,77.03808846
13C-mean,13,C,mean,Site Reference,4.219565524,0.739528855,1.500037783,20.32976264,8.189080086,11.06928988,39.54139067,14.41134457,5.259142422,17.78171148,10.42864672,49.38931945,50.61068055,77.89332773
13C-dev,13,C,dev,Site Reference,0.121612031,0.111208112,0.078237246,1.104290574,0.521129273,1.570534904,3.783637237,3.959150625,2.680660489,6.902292807,0.377533539,5.2624804,5.2624804,2.607447953
14A,14,A,sample,UV Filtered,4.459323593,1.035596934,1.559294626,23.57801331,8.038108625,11.6374104,37.6535321,12.03872042,7.335872315,20.24938395,10.63300018,50.7090575,49.2909425,73.40654643
14A-2,14,A,sample,UV Filtered,3.616269033,0.915658515,1.476360397,20.72475386,7.191679768,15.16150591,40.4911066,10.42266591,4.573696925,14.58959451,9.58369868,44.34738748,55.65261252,76.13303048
14A-3,14,A,sample,UV Filtered,4.198481922,0.944326348,1.497470744,19.78293412,6.554862401,14.78683574,45.08364172,7.151447,3.84626128,9.096733812,8.996659492,40.12952254,59.87047746,70.28306622
14A-mean,14,A,mean,UV Filtered,4.091358182,0.965193933,1.511041922,21.36190043,7.261550264,13.86191735,41.07609347,9.870944443,5.251943507,14.64523742,9.737786119,45.06198917,54.93801083,73.27421438
14A-dev,14,A,dev,UV Filtered,0.352412513,0.051139666,0.035191422,1.613510318,0.607544926,1.58038346,3.061403761,2.033003984,1.503187749,4.553220351,0.67686036,4.348534749,4.348534749,2.390070332
14B,14,B,sample,UV Transmitted,4.753115825,1.297022567,1.381510711,23.07165293,8.109268331,11.77614298,36.07192794,13.5393587,7.333479035,15.50012181,10.78780161,52.15192907,47.84807093,67.88294985
14B-2,14,B,sample,UV Transmitted,4.283863329,1.228273942,1.655834452,18.82318605,6.119755975,11.93276776,45.4847236,10.47159489,2.97737602,10.89721088,9.003864369,42.58250864,57.41749136,78.54079518
14B-3,14,B,sample,UV Transmitted,4.103610877,0.994325799,1.357553098,19.16632426,6.062832024,12.4374946,45.06237589,10.81548345,3.442969917,9.734224279,8.414710921,42.50012951,57.49987049,73.87175247
14B-mean,14,B,mean,UV Transmitted,4.380196677,1.173207436,1.464966087,20.35372108,6.76395211,12.04880178,42.20634248,11.60881235,4.584608324,12.04385232,9.402125634,45.74485574,54.25514426,73.4318325
