Pigment,Treatment,Site,mean,n,sd
violaxanthin,UV Filtered,5,0.8332685826666667,3,0.12928779227404577
violaxanthin,UV Filtered,6,1.3898414463333335,3,0.6972642801470708
violaxanthin,UV Filtered,7,0.8970864083333333,3,0.15100585435786573
violaxanthin,UV Filtered,8,1.1664671373333333,3,0.22187689383374018
violaxanthin,UV Filtered,9,1.2598064843333334,3,0.1335706545356409
violaxanthin,UV Transmitted,1,0.942354965,3,0.20458562613813075
violaxanthin,UV Transmitted,11,0.946453669,3,0.15172723993581946
violaxanthin,UV Transmitted,12,1.0456018763333332,3,0.21629288348998954
violaxanthin,UV Transmitted,13,1.1693977420000001,3,0.11357708873561825
violaxanthin,UV Transmitted,14,1.173207436,3,0.15868387883366566
violaxanthin,UV Transmitted,15,1.0567882086666667,3,0.09148483560293924
violaxanthin,UV Transmitted,16,0.8427159186666666,3,0.17829254681538476
violaxanthin,UV Transmitted,17,0.9720669026666666,3,0.3114192705386716
violaxanthin,UV Transmitted,18,0.892119714,4,0.22158888012379344
violaxanthin,UV Transmitted,19,1.207795159,3,0.1647210283466229
violaxanthin,UV Transmitted,2,0.8667796136666667,3,0.20450573166669156
violaxanthin,UV Transmitted,20,1.017095116,3,0.06423056690274909
violaxanthin,UV Transmitted,3,0.8851423643333333,3,0.15169094955171825
violaxanthin,UV Transmitted,4,1.5177182126666666,3,0.1071996872034085
violaxanthin,UV Transmitted,5,0.8795542646666666,3,0.035325411919914985
violaxanthin,UV Transmitted,6,1.1841883420000001,3,0.40112397462395333
violaxanthin,UV Transmitted,7,0.9743276523333333,3,0.049472026731795626
violaxanthin,UV Transmitted,8,1.5470749473333334,3,0.17495064684676717
violaxanthin,UV Transmitted,9,1.276694096,3,0.4882427146527016
violaxanthin,Site Reference,1,0.6467334283333334,3,0.027695004815568375
violaxanthin,Site Reference,11,0.55966583925,4,0.13159472243873827
violaxanthin,Site Reference,12,0.5774997629999999,3,0.08953148701516608
violaxanthin,Site Reference,13,0.739528855,3,0.13620156551203538
violaxanthin,Site Reference,14,0.6940920143333333,3,0.046188271745250045
violaxanthin,Site Reference,15,0.626423395,3,0.2017609661622277
violaxanthin,Site Reference,16,0.563814497,3,0.06618702407523164
violaxanthin,Site Reference,17,0.56428322,3,0.22307921796693936
violaxanthin,Site Reference,18,0.6967675664999999,4,0.15655046797738675
violaxanthin,Site Reference,19,0.62039394375,4,0.11917381196883627
violaxanthin,Site Reference,2,0.7310155023333333,3,0.3102647789166987
violaxanthin,Site Reference,20,0.8000629403333334,3,0.17397243563137907
violaxanthin,Site Reference,3,0.8290325476666667,3,0.11200020888431614
violaxanthin,Site Reference,4,0.6961495303333334,3,0.11810376530774089
violaxanthin,Site Reference,5,0.6128598673333333,3,0.02897571291984863
violaxanthin,Site Reference,6,0.7403174786666666,3,0.04575909875416667
violaxanthin,Site Reference,7,0.35433189666666665,3,0.1581401650109735
violaxanthin,Site Reference,8,0.7974508653333333,3,0.008480073697984031
violaxanthin,Site Reference,9,0.7178001605,4,0.3164751584133358
violaxanthin,Lab Control,L1,3.6129169020000003,3,0.22381943426689485
violaxanthin,Lab Control,L2,4.587030715333333,3,0.3755009557922282
violaxanthin,Lab Control,L3,5.056814111666666,3,0.9313675050653597
antheraxanthin,UV Filtered,1,1.5588111146666666,3,0.16550726302819624
antheraxanthin,UV Filtered,11,1.7560581747500001,4,0.2258469000531065
antheraxanthin,UV Filtered,12,1.7662789190000001,3,0.16138288761627637
antheraxanthin,UV Filtered,13,1.417369294,3,0.6793082297077611
antheraxanthin,UV Filtered,14,1.5110419223333333,3,0.04310051329128762
antheraxanthin,UV Filtered,15,1.417280362,3,0.188834358079202
antheraxanthin,UV Filtered,16,1.7051400553333333,3,0.08878065641543152
antheraxanthin,UV Filtered,17,1.6640865023333333,3,0.0960465079817389
antheraxanthin,UV Filtered,18,1.5400781186666668,3,0.07521593980619262
antheraxanthin,UV Filtered,19,1.6658007073333334,3,0.11094054679497385
antheraxanthin,UV Filtered,2,1.92694654575,4,0.35631836911671155
antheraxanthin,UV Filtered,20,1.6762300046666667,3,0.39233466336219586
antheraxanthin,UV Filtered,3,1.834191068,3,0.3539988788230082
antheraxanthin,UV Filtered,4,2.02111533125,4,0.5103585247520289
antheraxanthin,UV Filtered,5,1.5844065216666665,3,0.07336233361646875
antheraxanthin,UV Filtered,6,1.6573264986666667,3,0.45135643470419456
antheraxanthin,UV Filtered,7,1.3342126423333334,3,0.14720577788757574
antheraxanthin,UV Filtered,8,1.8378965143333335,3,0.1591607664283646
antheraxanthin,UV Filtered,9,1.5504123906666667,3,0.13200707211653295
antheraxanthin,UV Transmitted,1,1.841602054,3,0.20621714649358172
antheraxanthin,UV Transmitted,11,1.115355069,3,0.1994616605207425
antheraxanthin,UV Transmitted,12,1.6419774356666668,3,0.23456318444034904
antheraxanthin,UV Transmitted,13,1.4381804853333333,3,0.10209838360454762
antheraxanthin,UV Transmitted,14,1.4649660869999999,3,0.16573032725935938
antheraxanthin,UV Transmitted,15,1.3426186163333333,3,0.10139195163212619
antheraxanthin,UV Transmitted,16,1.5848624256666666,3,0.06971412152267943
antheraxanthin,UV Transmitted,17,1.7044326203333333,3,0.0672929038223624
antheraxanthin,UV Transmitted,18,1.68264033275,4,0.14562578923059472
antheraxanthin,UV Transmitted,19,1.479462573,3,0.23551912960572394
antheraxanthin,UV Transmitted,2,1.4035808053333334,3,0.2264668170889321
antheraxanthin,UV Transmitted,20,1.391027043,3,0.25629854438480726
antheraxanthin,UV Transmitted,3,1.7441202873333332,3,0.12041127198137207
antheraxanthin,UV Transmitted,4,1.633812633,3,0.10561727224584487
antheraxanthin,UV Transmitted,5,1.5800021343333333,3,0.027953000379686958
antheraxanthin,UV Transmitted,6,1.947936719,3,1.1031801892214486
antheraxanthin,UV Transmitted,7,1.4198416753333334,3,0.19229887462137546
antheraxanthin,UV Transmitted,8,2.045795985,3,0.2644330235180178
antheraxanthin,UV Transmitted,9,1.750886718,3,0.3128597683761905
antheraxanthin,Site Reference,1,1.6128688076666666,3,0.09850708508577255
antheraxanthin,Site Reference,11,1.56630595675,4,0.19567941358361818
antheraxanthin,Site Reference,12,1.3796944796666666,3,0.05735456721591322
antheraxanthin,Site Reference,13,1.500037783,3,0.09582066587789416
antheraxanthin,Site Reference,14,1.5784618656666667,3,0.13613467798381462
antheraxanthin,Site Reference,15,1.6526070236666666,3,0.3896001650974162
antheraxanthin,Site Reference,16,1.5590984046666667,3,0.25097096376457717
antheraxanthin,Site Reference,17,1.3848721,3,0.2854333054865904
antheraxanthin,Site Reference,18,1.6113493305,4,0.11701296268783416
antheraxanthin,Site Reference,19,1.54085203,4,0.03761803354982936
antheraxanthin,Site Reference,2,1.695434187,3,0.4736255266065404
antheraxanthin,Site Reference,20,1.6294967263333333,3,0.18006191276089625
antheraxanthin,Site Reference,3,1.6868329233333332,3,0.13222974899128678
antheraxanthin,Site Reference,4,1.3476809103333334,3,0.2927823961026962
antheraxanthin,Site Reference,5,1.4881583066666666,3,0.0984852216297976
antheraxanthin,Site Reference,6,1.8581222443333332,3,0.31166841958823766
antheraxanthin,Site Reference,7,1.1474977646666666,3,0.4612625419099205
antheraxanthin,Site Reference,8,2.116832484333333,3,0.22506301042347546
antheraxanthin,Site Reference,9,1.81549614725,4,0.3887194697016409
antheraxanthin,Lab Control,L1,1.8273001366666666,3,0.03694069732666351
antheraxanthin,Lab Control,L2,1.145651262,3,0.16057216748254566
antheraxanthin,Lab Control,L3,1.617133638,3,0.09877976235892565
